,0,1,2,3,4,5,6,7,8,9,10
0,0.9895,0.9739,0.9964,0.9751,0.9914,0.9574,0.9734,0.5983,0.174,0.1064,0.0036
1,0.9983,0.9704,0.9927,0.9642,0.986,0.9537,0.9661,0.5131,0.2148,0.0992,0
2,0.9808,0.9668,0.9964,0.9642,0.986,0.95,0.9661,0.5451,0.1314,0.0685,0
3,0.9791,0.9668,0.9818,0.9715,0.9824,0.9482,0.9643,0.5522,0.1012,0.1154,0
4,0.9791,0.9668,0.9964,0.966,0.9914,0.95,0.9643,0.5664,0.2503,0.1226,0.0108
5,0.9791,0.965,0.9945,0.9678,0.9788,0.9482,0.9625,0.5859,0.1474,0.0721,0.0126
6,0.9774,0.9632,0.9873,0.9624,0.9806,0.9464,0.9643,0.577,0.19,0.0559,0.0072
7,0.9756,0.965,0.9927,0.9696,0.9806,0.9464,0.9643,0.577,0.2219,0.1389,0.0162
8,0.9704,0.9578,0.9855,0.9787,0.995,0.9555,0.9607,0.6711,0.4882,0.2344,0.0432
9,0.9721,0.9596,0.9818,0.9769,0.9896,0.9574,0.9607,0.6835,0.4296,0.2543,0.0216
10,0.9721,0.9686,0.9855,0.9787,0.9914,0.961,0.9698,0.68,0.5095,0.1984,0.009
11,0.9704,0.9578,0.9855,0.9733,0.9914,0.9574,0.9698,0.696,0.5166,0.2164,0.0144
12,0.9704,0.9704,0.9855,0.9787,0.9914,0.9574,0.9661,0.7137,0.5344,0.2579,0.0396
13,0.9791,0.9596,0.9855,0.9769,0.9788,0.9555,0.9589,0.7102,0.4687,0.2218,0.027
14,0.9704,0.965,0.9873,0.9733,0.9914,0.9592,0.9679,0.7048,0.5202,0.2543,0.0144
15,0.9686,0.9524,0.9855,0.9733,0.9896,0.961,0.9589,0.7261,0.5522,0.2543,0.0234
16,0.9652,0.9686,0.9855,0.9769,0.9932,0.961,0.9589,0.7119,0.5522,0.2633,0.0414
17,0.9669,0.9614,0.9818,0.9805,0.9896,0.9464,0.9589,0.6871,0.4776,0.2885,0.0234
18,0.9669,0.9721,0.9855,0.9751,0.995,0.9647,0.9589,0.6906,0.5593,0.303,0.0342
19,0.9669,0.9704,0.98,0.9769,0.995,0.9574,0.9571,0.6853,0.5202,0.2777,0.018
20,0.9669,0.9578,0.9873,0.9914,0.9914,0.9537,0.9571,0.6835,0.5291,0.294,0.036
21,0.9652,0.965,0.9855,0.9769,0.995,0.9409,0.9571,0.6977,0.5344,0.2579,0.0072
22,0.9652,0.9578,0.9836,0.9769,0.9914,0.9592,0.9571,0.6764,0.5504,0.312,0.0306
23,0.9599,0.9632,0.9873,0.9769,0.9824,0.9537,0.9589,0.7084,0.5326,0.2579,0.0126
24,0.9652,0.956,0.9836,0.9878,0.9878,0.9574,0.9752,0.7013,0.5557,0.2453,0.0306
25,0.9634,0.956,0.9818,0.9715,0.9914,0.9592,0.9553,0.7048,0.5326,0.2561,0.0666
26,0.9617,0.965,0.9836,0.9751,0.9878,0.95,0.9571,0.7048,0.5326,0.312,0.0252
27,0.9634,0.9506,0.9836,0.9841,0.9842,0.9519,0.9571,0.7013,0.5095,0.2254,0.0234
28,0.9617,0.9668,0.9855,0.9733,0.9896,0.9574,0.9571,0.7226,0.5273,0.2453,0.0216
29,0.9599,0.956,0.9873,0.9715,0.9914,0.9427,0.9607,0.6835,0.5557,0.2308,0.0468
30,0.9599,0.9524,0.9818,0.9805,0.986,0.9409,0.9553,0.664,0.5131,0.2777,0.036
31,0.9582,0.947,0.9818,0.9769,0.9896,0.9537,0.9589,0.6214,0.4953,0.2615,0.0342
32,0.9564,0.965,0.9836,0.8899,0.9734,0.9519,0.9571,0.5699,0.5237,0.2651,0.036
33,0.9564,0.9668,0.98,0.8518,0.9824,0.9555,0.9589,0.4918,0.5433,0.2489,0.0288
34,0.9564,0.9542,0.9818,0.7775,0.9842,0.9519,0.9607,0.435,0.4865,0.2651,0.0432
35,0.9582,0.9668,0.9782,0.7449,0.9734,0.939,0.9553,0.3675,0.5095,0.2561,0.0306
36,0.9512,0.9524,0.9745,0.9678,0.9698,0.9409,0.9463,0.9463,0.6019,0.5176,0.3708
37,0.9512,0.956,0.9727,0.8863,0.9679,0.9317,0.9499,0.9197,0.5948,0.523,0.4284
38,0.9477,0.9524,0.9745,0.8464,0.9679,0.9464,0.9499,0.9019,0.6125,0.523,0.378
39,0.9564,0.947,0.9764,0.7757,0.977,0.9317,0.9499,0.8238,0.6214,0.5284,0.4284
40,0.9495,0.9668,0.9745,0.7485,0.9752,0.9317,0.9499,0.767,0.6338,0.5374,0.3996
41,0.9477,0.9704,0.9727,0.7213,0.9716,0.9335,0.9481,0.7155,0.6569,0.5338,0.3996
42,0.9547,0.965,0.9836,0.6561,0.9336,0.9464,0.9571,0.6338,0.3427,0.3318,0.0648
43,0.9547,0.9614,0.9836,0.6072,0.8939,0.9537,0.9643,0.5806,0.3338,0.2344,0.1386
44,0.9547,0.965,0.9818,0.5564,0.8939,0.95,0.9661,0.5255,0.3941,0.312,0.0864
45,0.9547,0.9704,0.9855,0.4912,0.8542,0.9445,0.9734,0.4563,0.3569,0.3066,0.0522
46,0.953,0.956,0.98,0.9914,0.8144,0.9354,0.9625,0.9072,0.4581,0.3733,0.1188
47,0.9495,0.9614,0.9836,0.9243,0.7765,0.9409,0.9679,0.9001,0.4083,0.3102,0.1404
48,0.9512,0.956,0.9818,0.8681,0.7458,0.9409,0.9679,0.9055,0.3799,0.3715,0.0702
49,0.9512,0.9596,0.9836,0.8192,0.7007,0.9445,0.9661,0.8682,0.4439,0.321,0.1152
50,0.9512,0.956,0.9836,0.7449,0.6646,0.9482,0.9643,0.8096,0.4296,0.339,0.099
51,0.9512,0.9668,0.98,0.7141,0.6284,0.9427,0.9625,0.7244,0.4279,0.33,0.1026
52,0.9495,0.9668,0.9818,0.6452,0.605,0.939,0.9661,0.6676,0.5078,0.3751,0.081
53,0.9495,0.947,0.98,0.6271,0.558,0.9409,0.9625,0.5965,0.4527,0.3282,0.1782
54,0.9477,0.9632,0.98,0.5492,0.5255,0.9372,0.9679,0.5344,0.4385,0.3318,0.0468
55,0.9477,0.9704,0.9818,0.4984,0.4876,0.9445,0.9607,0.4634,0.4332,0.3481,0.1458
56,0.9443,0.9578,0.9709,0.995,0.977,0.9354,0.9499,0.7119,0.5717,0.4238,0.2736
57,0.953,0.9686,0.9745,0.9207,0.977,0.9372,0.9607,0.7439,0.593,0.44,0.3024
58,0.9425,0.9614,0.9745,0.8845,0.93,0.9262,0.9463,0.7545,0.4989,0.4509,0.2088
59,0.9443,0.9704,0.9764,0.8138,0.8903,0.9354,0.9499,0.7563,0.5433,0.4653,0.225
60,0.9425,0.9596,0.9764,0.7793,0.8524,0.9372,0.9499,0.7759,0.5379,0.4509,0.2538
61,0.939,0.9614,0.9745,0.7213,0.8126,0.9317,0.9499,0.7279,0.5362,0.4779,0.2214
62,0.9425,0.9632,0.9709,0.6416,0.7765,0.9317,0.9481,0.6782,0.5166,0.4707,0.2736
63,0.9425,0.947,0.9745,0.609,0.7332,0.9335,0.9463,0.5948,0.5308,0.4851,0.2628
64,0.9477,0.9632,0.9727,0.56,0.7025,0.9262,0.9499,0.5397,0.5291,0.4094,0.171
65,0.939,0.9704,0.9745,0.5292,0.6664,0.9262,0.9499,0.4829,0.5522,0.4472,0.1962
66,0.9408,0.9632,0.9745,0.4622,0.6302,0.9225,0.9481,0.4208,0.5397,0.4364,0.2556
67,0.939,0.956,0.9745,0.4005,0.5959,0.9243,0.9607,0.3462,0.4882,0.4743,0.2088
68,0.939,0.9488,0.9745,0.3752,0.558,0.9317,0.9589,0.2876,0.5575,0.44,0.2664
69,0.9373,0.965,0.9709,0.3045,0.5237,0.9298,0.9589,0.2237,0.49,0.4617,0.2304
70,0.9373,0.92,0.9727,0.2755,0.4966,0.9335,0.9463,0.1562,0.5486,0.4743,0.18
71,0.9355,0.9111,0.9764,0.2175,0.4641,0.9262,0.9517,0.1278,0.5113,0.4184,0.1566
72,0.9373,0.8643,0.9727,0.1577,0.437,0.8895,0.9427,0.1278,0.5007,0.4328,0.126
73,0.9338,0.8877,0.9727,0.1287,0.3973,0.8895,0.9481,0.1261,0.5042,0.4815,0.0684
74,0.9338,0.832,0.9745,0.0453,0.3684,0.8602,0.9625,0.1296,0.4865,0.4292,0.0072
75,0.9303,0.8248,0.9709,0.0109,0.3341,0.8308,0.9445,0.1314,0.4776,0.4292,0
76,0.9338,0.7996,0.9673,0.0091,0.2962,0.8308,0.9481,0.1243,0.49,0.4725,0
77,0.9303,0.7996,0.9745,0.0091,0.2673,0.8015,0.9571,0.1296,0.5202,0.4599,0
78,0.9373,0.7583,0.9745,0.0109,0.2023,0.774,0.9481,0.1314,0.5113,0.4581,0
79,0.9338,0.7547,0.9691,0.0109,0.1625,0.7446,0.9463,0.1278,0.5273,0.4022,0
80,0.9321,0.726,0.9709,0.0109,0.1336,0.7446,0.9625,0.1261,0.5007,0.4545,0
81,0.9321,0.6846,0.9655,0.0109,0.0957,0.7189,0.9463,0.1296,0.5273,0.4436,0
82,0.9303,0.6936,0.9691,0.8899,0.9499,0.9427,0.9481,0.9179,0.4225,0.4454,0.2412
83,0.9286,0.6487,0.9655,0.8101,0.9102,0.9354,0.9481,0.8344,0.4243,0.4869,0.1854
84,0.9268,0.6559,0.9691,0.7757,0.8704,0.928,0.9481,0.7563,0.4332,0.4869,0.117
85,0.9268,0.6146,0.9291,0.7068,0.8271,0.9152,0.9445,0.6782,0.4545,0.5014,0.1548
86,0.9268,0.6217,0.9291,0.6706,0.7946,0.9005,0.9481,0.6249,0.4243,0.5356,0.1296
87,0.9164,0.5876,0.9236,0.6072,0.7567,0.8877,0.9481,0.5468,0.3782,0.4959,0.1836
88,0.9251,0.5858,0.9291,0.5727,0.7133,0.8712,0.9463,0.4758,0.4083,0.5771,0.1962
89,0.9233,0.5858,0.9255,0.502,0.6808,0.8565,0.9463,0.4385,0.4439,0.5194,0.2412
90,0.9251,0.5499,0.8891,0.4821,0.6808,0.8436,0.9391,0.3444,0.3409,0.4761,0.2106
91,0.9251,0.5499,0.8927,0.4114,0.6447,0.8381,0.9372,0.2929,0.4137,0.5068,0.1836
92,0.9233,0.5157,0.8909,0.3806,0.6068,0.8363,0.9463,0.2219,0.4456,0.4491,0.1872
93,0.9233,0.5175,0.8909,0.3172,0.5707,0.8345,0.9463,0.1545,0.332,0.5518,0.2124
94,0.9251,0.4798,0.8473,0.2519,0.5345,0.8033,0.9463,0.9232,0.6196,0.6366,0.2538
95,0.9251,0.4816,0.8545,0.2374,0.4984,0.8033,0.9481,0.8842,0.6143,0.5825,0.216
96,0.9251,0.4492,0.8527,0.4422,0.4659,0.774,0.9535,0.7901,0.4225,0.4166,0.1008
97,0.9233,0.9578,0.9709,0.995,0.995,0.9775,0.9463,0.7102,0.5983,0.5194,0.0576
98,0.9199,0.9596,0.9673,0.9316,0.9391,0.9775,0.9445,0.7137,0.6285,0.5753,0.099
99,0.9146,0.9182,0.9655,0.8935,0.9029,0.9427,0.9445,0.7918,0.6569,0.532,0.09
100,0.9199,0.92,0.9236,0.8228,0.8632,0.9427,0.9391,0.7581,0.6001,0.5573,0.0342
101,0.9199,0.8823,0.9255,0.7667,0.8253,0.9133,0.9481,0.7972,0.5948,0.4887,0.1062
102,0.9164,0.8823,0.9273,0.7304,0.7928,0.8803,0.9463,0.7119,0.5664,0.5032,0.0918
103,0.9164,0.8589,0.8964,0.6507,0.7512,0.851,0.9372,0.6676,0.5912,0.5374,0.1368
104,0.9599,0.8464,0.9236,0.6162,0.7332,0.8308,0.9661,0.4012,0.3657,0.0956,0
105,0.9564,0.8482,0.9236,0.5745,0.7061,0.8125,0.9679,0.3799,0.4066,0.0361,0
106,0.9599,0.8122,0.8818,0.5093,0.6736,0.796,0.9716,0.3302,0.2113,0.1659,0.0054
107,0.953,0.8122,0.8818,0.4495,0.6339,0.7575,0.9752,0.2415,0.3373,0.1082,0.0036
108,0.9251,0.9308,0.8309,0.9533,0.9806,0.9812,0.9517,0.7368,0.4865,0.33,0.0252
109,0.9251,0.9272,0.8273,0.9135,0.9391,0.9702,0.9517,0.7936,0.5131,0.3625,0.0306
110,0.9251,0.92,0.7909,0.8391,0.8831,0.9757,0.9499,0.7208,0.506,0.3661,0.0198
111,0.9268,0.8787,0.7909,0.8029,0.8433,0.9409,0.9571,0.7741,0.5113,0.3354,0.0072
112,0.9251,0.8931,0.7909,0.7322,0.8054,0.9409,0.9481,0.8043,0.49,0.3354,0.0216
113,0.9251,0.8518,0.7527,0.6633,0.7657,0.8987,0.9517,0.7812,0.5131,0.3571,0.0216
114,0.9233,0.8535,0.7545,0.6271,0.7296,0.8767,0.9517,0.8149,0.5237,0.3661,0.0198
115,0.9233,0.8104,0.7564,0.5673,0.6916,0.8675,0.9499,0.7759,0.4847,0.3589,0.0216
116,0.9251,0.8032,0.7145,0.5274,0.6537,0.8418,0.9661,0.7208,0.4936,0.3535,0.0306
117,0.9251,0.7727,0.7145,0.4803,0.6194,0.8161,0.9589,0.6658,0.4669,0.3156,0.018
118,0.9233,0.7745,0.7182,0.4169,0.5815,0.7923,0.9481,0.6125,0.49,0.3553,0.0486
119,0.9233,0.7385,0.7164,0.3752,0.5688,0.7795,0.9661,0.5308,0.5433,0.3661,0.0288
