,0,1,2,3,4,5,6,7,8,9,10
0,0.004,0.991,0.993,0.97,0.995,0.982,0.997,0.997,0.015,0.996,0.983
1,0.012,0.989,0.995,0.966,0.993,0.995,0.995,0.956,0,0.996,0.981
2,0.008,0.989,0.993,0.964,0.993,0.968,0.995,0.954,0.008,0.998,0.985
3,0.016,0.989,0.995,0.962,0.987,0.964,0.997,0.997,0,0.998,0.987
4,0.012,0.991,0.995,0.992,0.989,0.976,0.997,0.948,0.011,0.998,0.987
5,0,0.989,0.995,0.962,0.991,0.984,0.993,0.997,0.008,0.998,0.989
6,0.016,0.995,0.995,0.992,0.989,0.97,0.995,0.948,0.013,0.998,0.979
7,0.01,0.991,0.995,0.964,0.985,0.968,0.997,0.997,0.013,0.998,0.989
8,0.012,0.991,0.993,0.966,0.989,0.966,0.995,0.997,0,0.998,0.983
9,0.01,0.993,0.995,0.962,0.989,0.933,0.997,0.997,0.008,0.998,0.985
10,0.008,0.993,0.995,0.982,0.987,0.937,0.993,0.95,0,0.998,0.983
11,0.01,0.989,0.995,0.984,0.989,0.897,0.991,0.95,0,0.998,0.983
12,0.012,0.989,0.989,0.992,0.987,0.897,0.993,0.997,0,0.998,0.975
13,0.01,0.987,0.993,0.96,0.989,0.897,0.995,0.95,0,0.996,0.983
14,0.006,0.985,0.949,0.962,0.989,0.866,0.997,0.997,0.011,0.998,0.989
15,0.012,0.989,0.949,0.96,0.991,0.868,0.993,0.948,0.011,0.998,0.979
16,0,0.989,0.953,0.962,0.989,0.839,0.995,0.997,0.011,0.998,0.942
17,0.01,0.989,0.949,0.962,0.985,0.804,0.995,0.997,0.008,0.998,0.933
18,0.01,0.987,0.91,0.99,0.991,0.804,0.943,0.946,0.004,0.996,0.94
19,0,0.991,0.912,0.962,0.987,0.777,0.946,0.948,0,0.998,0.894
20,0,0.995,0.872,0.962,0.987,0.773,0.946,0.952,0,0.996,0.896
21,0.012,0.993,0.868,0.962,0.989,0.744,0.943,0.917,0,0.998,0.892
22,0.008,0.989,0.872,0.96,0.985,0.741,0.906,0.919,0,0.988,0.855
23,0,0.989,0.833,0.96,0.987,0.714,0.902,0.888,0,0.996,0.853
24,0,0.991,0.835,0.986,0.987,0.685,0.904,0.859,0,0.986,0.857
25,0.008,0.989,0.829,0.962,0.987,0.681,0.867,0.861,0,0.994,0.816
26,0,0.993,0.795,0.962,0.989,0.654,0.867,0.832,0,0.998,0.816
27,0,0.989,0.795,0.96,0.989,0.619,0.824,0.832,0,0.996,0.774
28,0,0.991,0.754,0.957,0.987,0.625,0.824,0.802,0,0.99,0.776
29,0,0.987,0.754,0.921,0.987,0.586,0.826,0.775,0,0.988,0.776
30,0,0.993,0.754,0.921,0.985,0.563,0.787,0.773,0,0.994,0.741
31,0,0.993,0.718,0.917,0.987,0.565,0.785,0.746,0,0.994,0.735
32,0,0.945,0.716,0.881,0.987,0.532,0.752,0.717,0,0.998,0.702
33,0,0.951,0.677,0.883,0.989,0.507,0.748,0.721,0,0.986,0.7
34,0,0.949,0.679,0.844,0.985,0.513,0.748,0.689,0,0.99,0.673
35,0,0.907,0.647,0.844,0.985,0.48,0.709,0.691,0,0.992,0.661
36,0.008,0.905,0.645,0.808,0.985,0.451,0.711,0.67,0,0.986,0.624
37,0,0.866,0.612,0.808,0.947,0.449,0.672,0.639,0,0.988,0.626
38,0,0.866,0.61,0.769,0.949,0.42,0.672,0.635,0,0.996,0.593
39,0,0.866,0.616,0.773,0.947,0.393,0.637,0.61,0,0.992,0.589
40,0,0.826,0.568,0.737,0.945,0.361,0.633,0.588,0,0.996,0.553
41,0,0.826,0.572,0.741,0.947,0.361,0.633,0.588,0,0.994,0.562
42,0,0.786,0.537,0.698,0.945,0.33,0.598,0.555,0,0.996,0.52
43,0,0.786,0.539,0.7,0.949,0.307,0.598,0.526,0,0.992,0.52
44,0,0.75,0.509,0.666,0.947,0.274,0.563,0.508,0,0.994,0.485
45,0,0.748,0.505,0.664,0.949,0.28,0.563,0.499,0,0.998,0.489
46,0,0.75,0.476,0.628,0.949,0.251,0.526,0.477,0,0.998,0.442
47,0,0.712,0.47,0.63,0.947,0.226,0.526,0.44,0,0.99,0.446
48,0,0.708,0.43,0.595,0.947,0.193,0.489,0.446,0,0.994,0.409
49,0,0.671,0.434,0.593,0.909,0.166,0.489,0.415,0,0.986,0.409
50,0.01,0.673,0.403,0.561,0.909,0.162,0.454,0.395,0,0.99,0.378
51,0,0.637,0.403,0.561,0.909,0.133,0.454,0.364,0,0.99,0.38
52,0,0.637,0.367,0.526,0.907,0.114,0.425,0.366,0,0.996,0.351
53,0,0.595,0.361,0.532,0.909,0.075,0.423,0.341,0,0.996,0.347
