,0,1,2,3,4,5,6,7,8,9,10
0,0.009,0.995,0.986,0.995,0.996,0.994,0.997,0.032,0.035,0.997,0.995
1,0.004,0.995,0.988,0.993,0.996,0.994,0.997,0.026,0.024,0.997,0.995
2,0.006,0.995,0.99,0.995,0.996,0.994,0.995,0.037,0.026,0.997,0.995
3,0.009,0.993,0.99,0.995,0.996,0.994,0.995,0.028,0.022,0.997,0.995
4,0.004,0.995,0.99,0.997,0.996,0.994,0.997,0.026,0.044,0.997,0.995
5,0.006,0.993,0.99,0.995,0.996,0.994,0.997,0.032,0.037,0.997,0.995
6,0.009,0.997,0.99,0.997,0.996,0.994,0.995,0.03,0.044,0.997,0.995
7,0.011,0.995,0.99,0.995,0.996,0.994,0.997,0.028,0.035,0.997,0.995
8,0.004,0.995,0.99,0.993,0.996,0.994,0.997,0.028,0.026,0.997,0.995
9,0,0.995,0.99,0.967,0.998,0.937,0.997,0.026,0.015,0.997,0.958
10,0.004,0.995,0.99,0.963,0.996,0.911,0.997,0.028,0.013,0.995,0.958
11,0.004,0.995,0.99,0.969,0.996,0.881,0.997,0.026,0.024,0.997,0.958
12,0.006,0.995,0.99,0.927,0.996,0.879,0.972,0.028,0.042,0.997,0.922
13,0.006,0.995,0.99,0.929,0.996,0.85,0.97,0.03,0.024,0.997,0.922
14,0.009,0.993,0.992,0.888,0.996,0.822,0.976,0.026,0.026,0.997,0.92
15,0.004,0.995,0.992,0.884,0.996,0.8,0.933,0.028,0.028,0.997,0.881
16,0.006,0.995,0.973,0.854,0.996,0.763,0.933,0.024,0.02,0.997,0.883
17,0.004,0.995,0.969,0.851,0.996,0.735,0.897,0.024,0.02,0.997,0.885
18,0.004,0.961,0.932,0.815,0.996,0.705,0.897,0.026,0.022,0.997,0.842
19,0.006,0.959,0.932,0.817,0.996,0.676,0.861,0.024,0.022,0.997,0.844
20,0.004,0.918,0.934,0.781,0.996,0.648,0.861,0.024,0.02,0.997,0.807
21,0.009,0.878,0.894,0.779,0.996,0.62,0.824,0.024,0.017,0.997,0.807
22,0,0.878,0.896,0.74,0.996,0.589,0.824,0.026,0.015,0.997,0.768
23,0.004,0.84,0.855,0.738,0.994,0.559,0.788,0.022,0.017,0.944,0.768
24,0.004,0.84,0.851,0.708,0.968,0.526,0.79,0.022,0.024,0.944,0.732
25,0,0.797,0.814,0.708,0.968,0.5,0.754,0.024,0.017,0.944,0.732
26,0,0.801,0.818,0.673,0.968,0.47,0.754,0.026,0.017,0.903,0.697
27,0.004,0.763,0.778,0.637,0.97,0.446,0.72,0.024,0.015,0.905,0.697
28,0,0.725,0.78,0.639,0.968,0.418,0.72,0.024,0.015,0.866,0.663
29,0.004,0.723,0.741,0.601,0.97,0.387,0.683,0.026,0.015,0.83,0.658
30,0.004,0.687,0.741,0.566,0.968,0.368,0.651,0.024,0.015,0.83,0.626
31,0.006,0.648,0.705,0.566,0.968,0.333,0.651,0.026,0.02,0.791,0.624
32,0.004,0.65,0.702,0.534,0.97,0.274,0.617,0.024,0.02,0.791,0.587
33,0.006,0.608,0.666,0.5,0.97,0.25,0.617,0.024,0.024,0.755,0.589
34,0.009,0.576,0.632,0.495,0.927,0.226,0.583,0.024,0.026,0.757,0.553
35,0,0.574,0.629,0.468,0.927,0.194,0.551,0.024,0.017,0.721,0.553
36,0.004,0.538,0.593,0.433,0.929,0.163,0.549,0.024,0.022,0.723,0.516
37,0.004,0.502,0.597,0.431,0.927,0.139,0.517,0.024,0.02,0.684,0.518
38,0.004,0.504,0.559,0.405,0.925,0.074,0.517,0.024,0.028,0.65,0.481
39,0.009,0.468,0.554,0.369,0.927,0.048,0.487,0.024,0.007,0.652,0.481
40,0.006,0.436,0.522,0.369,0.927,0.044,0.455,0.024,0.015,0.613,0.445
41,0.011,0.434,0.524,0.337,0.931,0.046,0.453,0.024,0.02,0.613,0.447
42,0.006,0.395,0.488,0.311,0.889,0.037,0.421,0.026,0.017,0.579,0.414
43,0.011,0.366,0.453,0.27,0.889,0.041,0.389,0.024,0.017,0.545,0.412
44,0,0.332,0.449,0.279,0.889,0.044,0.391,0.026,0.026,0.545,0.38
45,0.006,0.327,0.419,0.247,0.891,0.046,0.359,0.024,0.017,0.51,0.348
46,0.004,0.293,0.419,0.219,0.891,0.041,0.327,0.026,0.02,0.476,0.348
47,0.004,0.257,0.391,0.182,0.889,0.05,0.325,0.024,0.009,0.478,0.311
48,0,0.234,0.38,0.189,0.887,0.048,0.297,0.026,0.02,0.444,0.315
49,0.006,0.227,0.348,0.152,0.891,0.05,0.267,0.026,0.02,0.412,0.278
50,0.004,0.191,0.311,0.127,0.846,0.046,0.265,0.024,0.02,0.412,0.281
51,0.006,0.172,0.311,0.094,0.848,0.048,0.235,0.026,0.02,0.38,0.244
52,0.009,0.132,0.284,0.062,0.848,0.039,0.203,0.024,0.015,0.345,0.218
53,0.004,0.134,0.279,0.054,0.85,0.044,0.205,0.026,0.015,0.345,0.216
54,0.004,0.096,0.247,0.021,0.848,0.052,0.177,0.026,0.026,0.309,0.183
55,0.004,0.062,0.213,0,0.85,0.041,0.141,0.026,0.017,0.279,0.177
56,0.006,0.023,0.211,0,0.85,0.048,0.115,0.024,0.028,0.249,0.151
57,0.004,0.015,0.18,0.013,0.814,0.052,0.109,0.026,0.028,0.249,0.127
58,0.009,0.006,0.148,0,0.809,0.048,0.083,0.028,0.028,0.221,0.119
59,0.004,0,0.155,0.009,0.809,0.041,0.056,0.024,0.022,0.184,0.097
